ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"1140","501","OH-507","392634","1592 Granville Pike",,"Lancaster","OH","43130",3,2021-07-01 10:40:08,2021-07-01 10:40:08,"24",,"42412"
"502","502","OH-507","399017","55 N E St","","Hamilton","OH","45013",2,2021-06-14 09:13:12,2021-06-14 09:13:12,"5",,"42412"
"503","503","OH-507","399079","Confidential - Jackson Homeless Committee",,"Jackson","OH","45640",3,2021-06-14 09:13:13,2021-06-14 09:13:13,"5",,"42412"
"504","504","OH-507","395016","311 N 6th St","","Steubenville","OH","43952",1,2021-06-14 09:13:13,2021-06-14 09:13:13,"5",,"42412"
"505","505","OH-507","392820","1561 E East 30th",,"Lorain","OH","44055",2,2021-06-14 09:13:14,2021-06-14 09:13:14,"5",,"42412"
"506","506","OH-507","399133","317 Riddle St.",,"Ravenna","OH","44266",2,2021-06-14 09:13:14,2021-06-14 09:13:14,"5",,"42412"
"507","507","OH-507","399055","12480 Ravenwood Dr",,"Chardon","OH","44024",2,2021-06-14 09:13:15,2021-06-14 09:13:15,"5",,"42412"
"508","508","OH-507","399155","3653 Warren Sharon Rd",,"Vienna","OH","44473",3,2021-06-14 09:13:15,2021-06-14 09:13:15,"5",,"42412"
"509","509","OH-507","399155","375 N Park Ave",,"Warren","OH","44481",3,2021-06-14 09:13:16,2021-06-14 09:13:16,"5",,"42412"
"510","510","OH-507","399039","1939 E. Second Street",,"Defiance","OH","43512",3,2021-06-14 09:13:16,2021-06-14 09:13:16,"5",,"42412"
"1097","511","OH-507","399161","Confidential - Crisis Care Domestic Violence Shelter",,"Van Wert","OH","45891",3,2021-06-30 15:06:45,2021-06-30 15:06:45,"24",,"42412"
"512","512","OH-507","399039","511 Perry St",,"Defiance","OH","43512",3,2021-06-14 09:13:18,2021-06-14 09:13:18,"5",,"42412"
"513","513","OH-507","393222","34 South Main Street",,"Middletown","OH","45044",3,2021-06-14 09:13:19,2021-06-14 09:13:19,"5",,"42412"
"514","514","OH-507","399047","1400 U.S. Route 22 NW",,"Washington Court House","OH","43160",3,2021-06-14 09:13:19,2021-06-14 09:13:19,"5",,"42412"
"515","515","OH-507","399091","123 N. Detroit Street",,"West Liberty","OH","43357",3,2021-06-14 09:13:20,2021-06-14 09:13:20,"5",,"42412"
"516","516","OH-507","399073","33601 Pine Ridge Dr.",,"Logan","OH","43138",3,2021-06-14 09:13:20,2021-06-14 09:13:20,"5",,"42412"
"517","517","OH-507","392634","1681 E. Main Street",,"Lancaster","OH","43130",3,2021-06-14 09:13:21,2021-06-14 09:13:21,"5",,"42412"
"518","518","OH-507","399149","706 N Wagner Ave",,"Sidney","OH","45365",3,2021-06-14 09:13:21,2021-06-14 09:13:21,"5",,"42412"
"519","519","OH-507","391320","421 Graham Rd","Suite E","Cuyahoga Falls","OH","44221",2,2021-06-14 09:13:22,2021-06-14 09:13:22,"5",,"42412"
"520","520","OH-507","393558","23 S Park Pl","Suite 200","Newark","OH","43055",2,2021-06-14 09:13:23,2021-06-14 09:13:23,"5",,"42412"
"522","522","OH-507","391062","1501 Madison Rd.",,"Cincinnati","OH","45206",1,2021-06-14 09:13:24,2021-06-14 09:13:24,"5",,"42412"
"523","523","OH-507","391062","1501 Madison Rd.",,"Cincinnati","OH","45206",1,2021-06-14 09:13:25,2021-06-14 09:13:25,"5",,"42412"
"524","524","OH-507","399155","375 N Park Ave",,"Warren","OH","44481",3,2021-06-14 09:13:26,2021-06-14 09:13:26,"5",,"42412"
"526","526","OH-507","393012","2 Smith Ave","","Mansfield","OH","44905",2,2021-06-14 09:13:26,2021-06-14 09:13:26,"5",,"42412"
"528","528","OH-507","394680","1843 Superior Street",,"Sandusky","OH","44870",3,2021-06-14 09:13:27,2021-06-14 09:13:27,"5",,"42412"
"529","529","OH-507","399009","5 Charles Pl",,"Athens","OH","45701",3,2021-06-14 09:13:28,2021-06-14 09:13:28,"5",,"42412"
"530","530","OH-507","392820","2726 Caroline Ave",,"Lorain","OH","44055",2,2021-06-14 09:13:28,2021-06-14 09:13:28,"5",,"42412"
"1076","531","OH-507","399001","11483 St. Rt. 41",,"West Union","OH","45693",3,2021-06-30 12:08:36,2021-06-30 12:08:36,"24",,"42412"
"532","532","OH-507","399001","11483 St. Rt. 41",,"West Union","OH","45693",3,2021-06-14 09:13:30,2021-06-14 09:13:30,"5",,"42412"
"533","533","OH-507","399157","119 Garland Dr SW","Suite 27N","New Philadelphia","OH","44663",3,2021-06-14 09:13:31,2021-06-14 09:13:31,"5",,"42412"
"534","534","OH-507","399165","600 Cincinnati Ave","","Lebanon","OH","45036",2,2021-06-14 09:13:31,2021-06-14 09:13:31,"5",,"42412"
"535","535","OH-507","394998","2425 E High St","","Springfield","OH","45505",1,2021-06-14 09:13:32,2021-06-14 09:13:32,"5",,"42412"
"537","537","OH-507","399149","623 Montrose St",,"Sidney","OH","45365",3,2021-06-14 09:13:33,2021-06-14 09:13:33,"5",,"42412"
"538","538","OH-507","399109","1100 Wayne St Ste 4001",,"Troy","OH","45373",2,2021-06-14 09:13:33,2021-06-14 09:13:33,"5",,"42412"
"539","539","OH-507","399165","27 N East St","","Lebanon","OH","45036",2,2021-06-14 09:13:33,2021-06-14 09:13:33,"5",,"42412"
"540","540","OH-507","399101","1183 Bellefontaine Ave","","Marion","OH","43302",3,2021-06-14 09:13:34,2021-06-14 09:13:34,"5",,"42412"
"1081","541","OH-507","393558","65 Messimer Dr","","Newark","OH","43055",2,2021-06-30 12:14:01,2021-06-30 12:14:01,"24",,"42412"
"542","542","OH-507","399125","220 North Williams Street",,"Paulding","OH","45879",3,2021-06-14 09:13:37,2021-06-14 09:13:37,"5",,"42412"
"543","543","OH-507","399131","Confidential - God's Church Without Walls",,"Waverly","OH","45690",3,2021-06-14 09:13:38,2021-06-14 09:13:38,"5",,"42412"
"544","544","OH-507","399143","127 S Front St","","Fremont","OH","43420",3,2021-06-14 09:13:38,2021-06-14 09:13:38,"5",,"42412"
"545","545","OH-507","399019","Confidential - Harbor Point",,"Carrollton","OH","44615",3,2021-06-14 09:13:39,2021-06-14 09:13:39,"5",,"42412"
