HMISParticipationID,ProjectID,HMISParticipationType,HMISParticipationStatusStartDate,HMISParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"264","264",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"265","265",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"266","266",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"267","267",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"268","268",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"269","269",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"270","270",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"276","276",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"277","277",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"278","278",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"279","279",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"280","280",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"281","281",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"282","282",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"283","283",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"284","284",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"285","285",1,2012-12-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"286","286",1,2013-01-01,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"288","288",1,2013-01-07,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"289","289",1,2013-01-07,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"290","290",1,2013-01-07,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"291","291",1,2013-01-07,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"292","292",1,2013-01-07,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"293","293",1,2013-01-07,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"294","294",1,2013-01-07,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"295","295",1,2013-01-07,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"296","296",1,2013-01-08,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"297","297",1,2013-01-11,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"298","298",1,2013-01-05,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"299","299",1,2013-01-16,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"300","300",1,2013-01-16,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"301","301",1,2013-01-29,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"303","303",1,2013-02-21,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"305","305",1,2013-03-14,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"307","307",1,2013-03-19,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"308","308",1,2013-06-25,,2023-09-30 23:23:54,2023-11-28 10:39:25,"227",,"42412"
"309","309",1,2013-06-28,,2023-09-30 23:23:54,2023-12-17 22:45:01,"27",,"42412"
"310","310",1,2013-06-22,,2023-09-30 23:23:54,2023-12-17 22:38:37,"27",,"42412"
"311","311",1,2017-12-18,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"312","312",1,2013-10-15,2022-09-30,2023-09-30 23:23:54,2024-01-24 15:53:16,"227",,"42412"
"313","313",1,2013-10-25,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"314","314",1,2013-10-25,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"315","315",1,2013-10-25,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"316","316",1,2013-10-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"317","317",1,2013-10-28,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"318","318",1,2007-05-01,,2023-09-30 23:23:54,2023-12-17 22:25:15,"27",,"42412"
"320","320",2,2013-11-12,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"321","321",0,2013-11-12,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"322","322",1,2013-11-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"323","323",1,2013-11-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"325","325",2,2013-11-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"326","326",2,2013-11-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"327","327",1,2010-02-16,,2023-09-30 23:23:54,2023-12-14 12:53:38,"27",,"42412"
"328","328",2,2013-11-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"329","329",2,2013-11-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"330","330",0,2013-11-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"332","332",2,2013-11-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"333","333",2,2013-11-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"334","334",2,2013-11-13,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
