InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"189","75","OH-507",3,1,2,5,,,,,,,5,1,2018-07-01,,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"190","75","OH-507",3,1,2,5,,,,,,,5,1,2011-01-01,2018-06-30,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"191","75","OH-507",1,1,0,5,,,,,,,5,1,2011-01-01,2018-06-30,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"192","75","OH-507",1,1,0,5,,,,,,,5,1,2018-07-01,,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"193","76","OH-507",1,1,20,20,,,,,,,20,1,2011-01-01,,2021-06-14 09:34:08,2021-07-09 15:17:55,"28",,"42412"
"194","76","OH-507",3,1,2,4,,,,,,,4,1,2013-10-01,,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"195","77","OH-507",1,1,10,10,,,,,,,10,1,2011-01-01,,2021-06-14 09:34:08,2021-07-05 16:40:46,"26",,"42412"
"196","77","OH-507",3,1,1,2,,,,,,,2,1,2013-10-01,,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"197","78","OH-507",1,,26,26,,,,,,,26,,2016-01-01,2017-06-30,2021-06-14 09:34:08,2021-07-20 23:18:40,"30",,"42412"
"198","78","OH-507",1,,19,19,,,,,,,19,,2019-01-01,,2021-06-14 09:34:08,2021-07-20 23:18:44,"30",,"42412"
"199","78","OH-507",1,,22,22,,,,,,,22,,2017-07-01,2018-12-31,2021-06-14 09:34:08,2021-07-20 23:18:48,"30",,"42412"
"200","78","OH-507",3,,17,50,,,,,,,50,,2016-01-01,,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"201","78","OH-507",3,,20,61,,,,,,,61,,2011-01-01,2015-12-31,2021-06-14 09:34:08,2021-06-14 09:34:08,"5",,"42412"
"202","79","OH-507",1,1,25,25,,,,,,,25,1,2011-01-01,2017-09-30,2021-06-14 09:34:08,2021-07-08 15:07:46,"28",,"42412"
